Date,Open,High,Low,Close,Volume
2019-01-01,410.79691171577355,412.8380703234171,405.2410405491999,406.8540344238281,16390
2019-01-02,408.22810886786465,410.2194654964884,398.67955747989674,400.3721923828125,22600
2019-01-03,401.85571000544826,406.14708042873366,399.1872998388259,405.48992919921875,30675
2019-01-04,405.838427875544,409.2237275739577,404.77304494185,407.07305908203125,24505
2019-01-07,410.23933509978303,411.9419667578923,396.2799371957067,399.8444519042969,37585
2019-01-08,400.26263773455474,402.85140714032366,396.6881566309192,401.31805419921875,189635
2019-01-09,402.45312299064994,423.1632164904988,398.47041036485706,417.4281005859375,71285
2019-01-10,413.4254908322751,417.58741828899616,412.2306648743779,413.72418212890625,15410
2019-01-11,410.2193979869751,416.98999725578676,407.4414474392169,410.60772705078125,14900
2019-01-14,410.617648354131,412.16096766305986,406.41588549539625,408.46697998046875,13165
2019-01-15,413.4055675955965,435.84813054364383,412.01159391899023,431.5069885253906,222955
2019-01-16,431.82562508621874,441.08541971143967,431.4771316571651,438.64599609375,95000
2019-01-17,440.0897509609181,440.17935834989925,431.34769784730287,434.155517578125,34255
2019-01-18,428.1614916216764,435.7087487413963,428.1614916216764,433.2991943359375,13195
2019-01-21,434.1156516204902,435.99749781470746,433.16974527117185,434.0360107421875,15765
2019-01-22,433.1299813338011,434.62349862631294,432.49273270386624,433.5182800292969,17095
2019-01-23,433.1299716390214,450.39502750773073,433.12000513387454,446.7408752441406,112170
2019-01-24,448.0552261167482,453.8301479879771,448.0552261167482,451.54010009765625,32510
2019-01-25,446.26298877571844,454.25828363853765,438.6261234856979,447.2586669921875,26140
2019-01-28,444.50063069005154,445.89457415298875,428.14164445159423,431.5966491699219,37960
2019-01-29,428.1416114919654,438.0983931545693,428.1416114919654,436.8338928222656,13380
2019-01-30,436.8338891636944,447.0594929067,436.8338891636944,442.6685485839844,13470
2019-01-31,443.25598177300685,457.01626079585157,443.0767670025141,451.7491149902344,93955
2019-02-01,456.00067877240167,463.58774122562215,435.74858934969717,456.1500244140625,149160
2019-02-04,444.0824129554351,462.8708544267407,441.4836772328242,445.6257019042969,38380
2019-02-05,442.08112071016654,451.04222450834556,442.08112071016654,443.7837219238281,15610
2019-02-06,443.0867134638943,448.0551373749219,437.49100749883246,441.01568603515625,12600
2019-02-07,440.88629386884946,442.87765026461784,433.07024432400823,434.4044494628906,13585
2019-02-08,428.73899324826033,442.5888791786816,428.53984547523567,434.1056823730469,17920
2019-02-11,432.46282717144527,441.08540326070187,428.1415878151282,437.7001037597656,14185
2019-02-12,436.1070198400969,438.0983760950745,432.1243073301417,434.5238952636719,9680
2019-02-14,430.6506955470726,441.6628932774456,429.1372757223509,434.334716796875,7660
2019-02-15,434.12565648052566,435.59924075195056,430.1329772231594,430.5013732910156,3890
2019-02-18,431.1286125429831,444.02265594998556,430.14290095827823,437.3814697265625,12645
2019-02-19,435.11135959859536,439.4923374624966,434.5139466204074,437.8395080566406,7140
2019-02-20,451.04217821488845,454.8158067128015,442.479340498352,447.1689758300781,61330
2019-02-21,448.5928632581309,452.82449559419,443.0767975403108,448.0651550292969,50200
2019-02-22,443.67419924880113,451.46040984164057,443.67419924880113,448.82183837890625,6390
2019-02-25,449.84735859493185,453.0235742012846,442.0810814799631,444.7096862792969,6570
2019-02-26,436.3061604814591,446.6612067607866,434.1156564825485,442.9871520996094,15825
2019-02-27,442.3200778557668,446.0638376451371,438.1979858709429,441.1551513671875,15925
2019-02-28,439.7412296750937,442.87760963354947,439.09404498298125,439.1338806152344,3740
2019-03-01,439.1139469154443,455.8214243014295,439.1040107966599,448.46337890625,31985
2019-03-05,453.4318494159101,472.94714835133425,449.5288078602378,469.84063720703125,76555
2019-03-06,470.3583539835199,479.1203399722002,461.02885454004684,467.7397155761719,45840
2019-03-07,466.9730679926841,477.90562538475024,462.990355259271,475.52593994140625,46110
2019-03-08,477.9254928606405,507.3975709975169,475.52590496895385,492.77105712890625,249990
2019-03-11,496.2460045813792,503.01663451519494,491.8650266157849,498.018310546875,44165
2019-03-12,502.6183543636291,518.9475015146787,498.63564147521464,507.8157958984375,69780
2019-03-13,508.7915525785559,509.7772642583705,497.83909254261835,498.4464416503906,23860
2019-03-14,500.02959158628187,513.7699382455511,497.8390874472394,505.2369689941406,41680
2019-03-15,500.0296072878986,509.78724155399306,497.83910308007137,499.89019775390625,24555
2019-03-18,501.9313167937936,506.6408855621271,497.83909402602933,502.5386962890625,10850
2019-03-19,505.8244192774061,507.785906512136,497.83909119350943,499.4023132324219,29015
2019-03-20,505.4062312879595,505.4062312879595,497.8390713266572,499.1235046386719,58835
2019-03-22,499.8304613824615,499.8304613824615,489.8736792832093,492.04425048828125,24055
2019-03-25,491.6659053516937,491.6659053516937,472.34975347092177,472.91729736328125,20905
2019-03-26,468.3669992405541,487.82255894732947,466.9730558971029,476.9995422363281,58000
2019-03-27,478.5229422812418,485.93079041613026,460.8098188438466,469.6414794921875,32405
2019-03-28,475.7350131189025,477.9255172271346,466.1765270829086,470.7566223144531,29550
2019-04-01,470.96574224596924,477.92552295051644,469.9600975680078,473.8233337402344,16875
2019-04-02,473.94278908525797,477.91553509387694,470.3583417461316,474.3808898925781,10195
2019-04-03,472.9571502690261,476.9298968892128,468.96447063636583,473.26580810546875,16840
2019-04-04,473.94278309106363,481.49000983865284,462.8111090496824,474.9981994628906,29015
2019-04-05,471.1549136930401,479.9168692765958,471.1549136930401,475.3467102050781,7005
2019-04-08,470.1592839315873,477.26841086819553,470.1592839315873,474.9783630371094,5880
2019-04-09,471.16487623322473,480.6138830880793,471.16487623322473,474.5302734375,9950
2019-04-10,472.16056058709387,494.85207574757595,471.9514766687143,478.7220764160156,175115
2019-04-11,479.4389345937191,481.4601600343623,474.93848026880295,475.8744201660156,134795
2019-04-12,477.9255161490877,489.6745062668117,461.9946656107848,480.0861511230469,121905
2019-04-15,477.5072887185278,481.3705245992587,467.96870591239735,468.55615234375,47730
2019-04-16,467.9687042344286,470.97564113981207,462.9903137638496,464.34442138671875,112070
2019-04-18,465.1808462747687,468.95444460537254,462.92063741557206,464.05572509765625,70160
2019-04-22,462.99033528588154,463.0301709194894,455.02491016268357,460.1028747558594,11045
2019-04-23,463.99601356195103,466.1566182672372,458.01197778100095,461.5167541503906,61120
2019-04-24,462.9903246381755,466.6245436899188,457.42448760762454,460.38165283203125,10580
2019-04-25,460.4015641453207,467.968724058294,460.0032989679401,464.8622131347656,13910
2019-04-26,462.96045611460414,482.694803721816,462.96045611460414,468.75531005859375,35710
2019-04-30,473.94279896711134,473.94279896711134,463.99598398111596,467.68994140625,45480
2019-05-02,462.42277974142047,475.8246290494634,462.42277974142047,471.6726379394531,27645
2019-05-03,467.6003580719799,471.9415004401894,467.16225723298976,468.5462341308594,5100
2019-05-06,468.5661703594569,468.9544690596859,458.79856957822193,466.51507568359375,6260
2019-05-07,466.50508875257816,467.9687368684239,460.99898972357505,463.149658203125,6255
2019-05-08,461.606326383896,463.14964572723744,454.02923034851574,456.0106201171875,48365
2019-05-09,451.84869234562916,466.0172031559405,446.9001707956143,456.36907958984375,13395
2019-05-10,453.680743004,458.01194903395833,450.0863594673627,453.6708068847656,6115
2019-05-13,450.15604556814213,452.2270731902154,444.3811243015922,447.507568359375,65520
2019-05-14,446.14343234942265,450.70365509070854,432.33338188144944,448.10491943359375,23805
2019-05-15,443.295843099331,461.7955304218774,443.295843099331,449.568603515625,62590
2019-05-16,444.0724446348315,460.9989727935583,444.0724446348315,453.830078125,5230
2019-05-17,455.6223725463928,455.6223725463928,448.6725274336913,451.0024108886719,10370
2019-05-20,458.01190188798614,472.7479248379353,455.0248677452384,467.221923828125,17520
2019-05-21,467.96868033987647,471.9414260091306,446.86029366814523,453.919677734375,21500
2019-05-22,457.0163017552429,462.7215488794011,450.1461281327919,460.0829772949219,9355
2019-05-23,462.9903220982577,467.76956488177234,454.5170916413845,458.6093444824219,12430
2019-05-24,463.9859977651754,493.4580758033621,459.22665763013595,483.27227783203125,38725
2019-05-27,497.8391348891705,501.75214319683397,477.9255694936037,481.5398864746094,65485
2019-05-28,486.9862119336165,498.03824599073124,482.80435135448533,488.0914001464844,151980
