Date,Open,High,Low,Close,Volume
2018-10-17,1097.333911258127,1124.6202707564844,1090.034729063381,1100.958984375,349443
2018-10-19,1089.0060493628005,1112.8632429884617,1078.8164951563813,1098.754638671875,388626
2018-10-22,1103.506644637925,1116.9293441797647,1088.0263479926568,1109.6790771484375,424717
2018-10-23,1109.6789275040492,1130.5479155394319,1101.2529943498241,1120.309326171875,807931
2018-10-24,1126.726738393811,1126.726738393811,1088.5160055265426,1103.6043701171875,417573
2018-10-25,1087.8791088769235,1137.1121673026853,1050.011269869269,1087.144287109375,759796
2018-10-26,1070.4396821160215,1073.6728269531186,1045.4066997140137,1060.9359130859375,408899
2018-10-29,1061.082795471633,1126.7268834647996,1061.082795471633,1119.7215576171875,296748
2018-10-30,1111.1974825428406,1152.200512578129,1107.1314449092567,1142.99072265625,617733
2018-10-31,1143.382671076553,1151.2207699356895,1107.2784521266344,1117.9578857421875,1242170
2018-11-01,1120.5540901863305,1161.0183208543756,1119.9662567286607,1148.67333984375,374447
2018-11-02,1154.4540062907715,1179.3889098575635,1115.4594175475274,1130.4498291015625,713553
2018-11-05,1126.726830226518,1171.991808087828,1126.726830226518,1140.982421875,354525
2018-11-06,1140.4432213049759,1145.048055887819,1098.4604342001082,1104.534912109375,460744
2018-11-07,1110.0708581682484,1116.9291953325712,1102.3307108771023,1108.797119140625,30818
2018-11-09,1109.9729006266336,1135.7405812344043,1107.1315656090712,1125.5511474609375,401528
2018-11-12,1125.550934069886,1133.4379485165625,1103.3592949226213,1113.7447509765625,330778
2018-11-13,1120.8481056098226,1131.037657762618,1089.7406516298297,1120.4561767578125,442309
2018-11-14,1126.7266199907071,1153.9640591660898,1119.8682840429376,1144.411376953125,531312
2018-11-15,1177.576456621284,1260.9542132345266,1156.2175883862083,1236.55810546875,3884208
2018-11-16,1225.3399373148804,1242.3387919759575,1201.4337095114495,1208.5369873046875,837770
2018-11-19,1210.0065222741816,1239.399393260599,1190.8032038163685,1200.2579345703125,1068208
2018-11-20,1202.3643755835378,1214.8074298870572,1164.496654309974,1168.66064453125,933231
2018-11-21,1175.7148736846138,1198.2494087635691,1173.7553488951396,1188.794677734375,422957
